1516, 1551752969, lead_off:False/1.328, confidence:0.732, big_r:0, small_r0, Polarity:0, No_R:123, hfb: 0
1517, 1551753029, lead_off:False/1.303, confidence:0.744, big_r:0, small_r0, Polarity:0, No_R:121, hfb: 1
1524, 1551753449, lead_off:False/1.202, confidence:0.742, big_r:0, small_r0, Polarity:0, No_R:124, hfb: 0
1526, 1551753569, lead_off:False/1.190, confidence:0.724, big_r:0, small_r0, Polarity:0, No_R:123, hfb: 0
1527, 1551753629, lead_off:False/1.217, confidence:0.382, big_r:0, small_r0, Polarity:0, No_R:131, hfb: 0
1528, 1551753689, lead_off:False/1.211, confidence:0.492, big_r:0, small_r0, Polarity:0, No_R:132, hfb: 1
1530, 1551753809, lead_off:False/1.214, confidence:0.661, big_r:0, small_r0, Polarity:0, No_R:118, hfb: 2
1531, 1551753869, lead_off:False/1.236, confidence:0.254, big_r:0, small_r0, Polarity:0, No_R:130, hfb: 0
1532, 1551753929, lead_off:False/1.246, confidence:0.223, big_r:0, small_r0, Polarity:0, No_R:121, hfb: 0
1533, 1551753989, lead_off:False/1.249, confidence:0.206, big_r:0, small_r1, Polarity:0, No_R:131, hfb: 0
1534, 1551754049, lead_off:False/1.228, confidence:0.415, big_r:0, small_r0, Polarity:0, No_R:135, hfb: 0
1535, 1551754109, lead_off:False/1.199, confidence:0.573, big_r:0, small_r0, Polarity:0, No_R:143, hfb: 0
1537, 1551754229, lead_off:False/1.138, confidence:0.702, big_r:0, small_r0, Polarity:0, No_R:141, hfb: 0
1538, 1551754289, lead_off:False/1.147, confidence:0.674, big_r:0, small_r0, Polarity:0, No_R:129, hfb: 0
1539, 1551754349, lead_off:False/1.164, confidence:0.617, big_r:0, small_r0, Polarity:0, No_R:141, hfb: 0
1564, 1551755849, lead_off:False/1.054, confidence:0.569, big_r:0, small_r0, Polarity:0, No_R:123, hfb: 0
1580, 1551756809, lead_off:False/1.086, confidence:0.675, big_r:0, small_r0, Polarity:0, No_R:123, hfb: 0
1581, 1551756869, lead_off:False/1.089, confidence:0.739, big_r:0, small_r0, Polarity:0, No_R:115, hfb: 0
1582, 1551756929, lead_off:False/1.100, confidence:0.683, big_r:0, small_r0, Polarity:0, No_R:123, hfb: 0
1587, 1551757229, lead_off:False/1.095, confidence:0.575, big_r:0, small_r0, Polarity:0, No_R:120, hfb: 0
1590, 1551757409, lead_off:False/1.096, confidence:0.672, big_r:0, small_r0, Polarity:0, No_R:119, hfb: 0
1591, 1551757469, lead_off:False/1.096, confidence:0.698, big_r:0, small_r0, Polarity:0, No_R:116, hfb: 0
1595, 1551757709, lead_off:False/1.093, confidence:0.737, big_r:0, small_r0, Polarity:0, No_R:114, hfb: 0
1596, 1551757769, lead_off:False/1.081, confidence:0.607, big_r:0, small_r0, Polarity:0, No_R:112, hfb: 0
1597, 1551757829, lead_off:False/1.093, confidence:0.686, big_r:0, small_r0, Polarity:0, No_R:121, hfb: 0
1599, 1551757949, lead_off:False/1.089, confidence:0.693, big_r:0, small_r1, Polarity:0, No_R:114, hfb: 0
